,Neighborhood,Niche URL,Niche Price,Population (2010),NPU,2014 Count,2015 Count,2016 Count,2017 Count,2018 Count
183,Polar Rock,https://www.niche.com/places-to-live/n/polar-rock-atlanta-ga/,"$82,400 ",991,Z,80.0,76.0,40.0,36.0,31.0
184,Pomona Park,https://www.niche.com/places-to-live/n/pomona-park-atlanta-ga/,"$91,800 ",,,12.0,23.0,16.0,5.0,7.0
185,Poncey-Highland,https://www.niche.com/places-to-live/n/poncey-highland-atlanta-ga/,"$300,339 ","2,133",N,203.0,209.0,217.0,182.0,161.0
186,Princeton Lakes,https://www.niche.com/places-to-live/n/princeton-lakes-atlanta-ga/,"$128,316 ","2,429",P,275.0,305.0,304.0,381.0,261.0
187,Randall Mill,https://www.niche.com/places-to-live/n/randall-mill-atlanta-ga/,"$1,297,300 ",,,28.0,21.0,29.0,34.0,34.0
188,Rebel Valley Forest,https://www.niche.com/places-to-live/n/rebel-valley-forest-atlanta-ga/,"$70,000 ",,,23.0,16.0,32.0,41.0,33.0
189,Regency Trace,https://www.niche.com/places-to-live/n/regency-trace-atlanta-ga/,"$127,800 ",,,,3.0,2.0,,
190,Reynoldstown,https://www.niche.com/places-to-live/n/reynoldstown-atlanta-ga/,"$267,206 ","2,550",N,121.0,125.0,125.0,113.0,138.0
191,Ridgecrest Forest,https://www.niche.com/places-to-live/n/ridgecrest-forest-atlanta-ga/,"$190,600 ",,,6.0,14.0,11.0,9.0,6.0
192,Ridgedale Park,https://www.niche.com/places-to-live/n/ridgedale-park-atlanta-ga/,"$198,376 ","1,685",B,16.0,24.0,30.0,29.0,12.0
193,Ridgewood Heights,https://www.niche.com/places-to-live/n/ridgewood-heights-atlanta-ga/,"$306,200 ",601,C,11.0,5.0,14.0,15.0,5.0
194,Riverside,https://www.niche.com/places-to-live/n/riverside-atlanta-ga/,"$285,411 ","1,341",D,102.0,95.0,180.0,137.0,105.0
195,Rockdale,https://www.niche.com/places-to-live/n/rockdale-atlanta-ga/,"$227,500 ",611,G,31.0,46.0,35.0,50.0,27.0
196,Rosedale Heights,https://www.niche.com/places-to-live/n/rosedale-heights-atlanta-ga/,"$73,700 ",844,Z,76.0,100.0,68.0,47.0,34.0
197,Rue Royal,https://www.niche.com/places-to-live/n/rue-royal-atlanta-ga/,"$63,500 ",,,4.0,4.0,5.0,2.0,
198,Sandlewood Estates,https://www.niche.com/places-to-live/n/sandlewood-estates-atlanta-ga/,"$127,800 ",,,17.0,14.0,15.0,16.0,8.0
199,Scotts Crossing,https://www.niche.com/places-to-live/n/scotts-crossing-atlanta-ga/,"$105,681 ","1,164",G,87.0,100.0,55.0,64.0,43.0
200,Sherwood Forest,https://www.niche.com/places-to-live/n/sherwood-forest-atlanta-ga/,"$846,200 ",,,10.0,4.0,8.0,5.0,2.0
201,South Atlanta,https://www.niche.com/places-to-live/n/south-atlanta-atlanta-ga/,"$85,071 ","1,738",Y,200.0,155.0,133.0,118.0,75.0
202,South River Gardens,https://www.niche.com/places-to-live/n/south-river-gardens-atlanta-ga/,"$101,993 ","2,279",Z,187.0,225.0,183.0,171.0,154.0
203,South Tuxedo Park,https://www.niche.com/places-to-live/n/south-tuxedo-park-atlanta-ga/,"$746,800 ","1,085",B,91.0,89.0,101.0,124.0,95.0
204,Southwest,https://www.niche.com/places-to-live/n/southwest-atlanta-ga/,"$112,093 ","4,158",R,395.0,335.0,318.0,211.0,233.0
205,Springlake,https://www.niche.com/places-to-live/n/springlake-atlanta-ga/,"$652,247 ","1,031",C,9.0,24.0,27.0,14.0,12.0
206,State Facility,https://www.niche.com/places-to-live/n/state-facility-atlanta-ga/,"$160,200 ",,,1.0,,,,
207,Summerhill,https://www.niche.com/places-to-live/n/summerhill-atlanta-ga/,"$117,307 ","2,025",V,230.0,169.0,167.0,151.0,136.0
208,Swallow Circle/Baywood,https://www.niche.com/places-to-live/n/swallow-circle-baywood-atlanta-ga/,"$94,300 ",577,Z,23.0,25.0,19.0,13.0,30.0
209,Sweet Auburn,https://www.niche.com/places-to-live/n/sweet-auburn-atlanta-ga/,"$184,270 ","1,882",M,331.0,382.0,303.0,249.0,243.0
210,Sylvan Hills,https://www.niche.com/places-to-live/n/sylvan-hills-atlanta-ga/,"$75,870 ","4,669",X,498.0,520.0,501.0,375.0,357.0
211,Tampa Park,https://www.niche.com/places-to-live/n/tampa-park-atlanta-ga/,0,,,7.0,2.0,5.0,4.0,2.0
212,The Villages at Carver,https://www.niche.com/places-to-live/n/the-villages-at-carver-atlanta-ga/,"$95,000 ","1,039",Y,166.0,163.0,142.0,112.0,107.0
213,The Villages at Castleberry Hill,https://www.niche.com/places-to-live/n/the-villages-at-castleberry-hill-atlanta-ga/,"$263,200 ",864,T,107.0,91.0,83.0,59.0,31.0
214,The Villages at East Lake,https://www.niche.com/places-to-live/n/the-villages-at-east-lake-atlanta-ga/,"$231,669 ","1,460",O,71.0,65.0,90.0,52.0,31.0
215,Thomasville Heights,https://www.niche.com/places-to-live/n/thomasville-heights-atlanta-ga/,"$83,533 ","2,739",Z,205.0,170.0,167.0,115.0,127.0
216,Tuxedo Park,https://www.niche.com/places-to-live/n/tuxedo-park-atlanta-ga/,"$893,717 ","1,182",A,14.0,22.0,21.0,15.0,18.0
217,Underwood Hills,https://www.niche.com/places-to-live/n/underwood-hills-atlanta-ga/,"$248,795 ","3,410",D,192.0,235.0,220.0,273.0,262.0
218,Venetian Hills,https://www.niche.com/places-to-live/n/venetian-hills-atlanta-ga/,"$71,860 ","3,790",S,229.0,232.0,239.0,217.0,184.0
219,Vine City,https://www.niche.com/places-to-live/n/vine-city-atlanta-ga/,"$156,435 ","2,785",L,638.0,658.0,595.0,360.0,503.0
220,Virginia Highland,https://www.niche.com/places-to-live/n/virginia-highland-atlanta-ga/,"$554,002 ",,,329.0,310.0,310.0,247.0,241.0
221,Washington Park,https://www.niche.com/places-to-live/n/washington-park-atlanta-ga/,"$98,300 ","1,124",K,85.0,121.0,115.0,93.0,98.0
222,Wesley Battle,https://www.niche.com/places-to-live/n/wesley-battle-atlanta-ga/,"$1,035,536 ",,,1.0,6.0,13.0,7.0,6.0
223,West End,https://www.niche.com/places-to-live/n/west-end-atlanta-ga/,"$94,131 ","4,270",T,814.0,800.0,681.0,574.0,531.0
224,West Highlands,https://www.niche.com/places-to-live/n/west-highlands-atlanta-ga/,"$149,404 ","1,164",G,50.0,64.0,67.0,95.0,53.0
225,West Lake,https://www.niche.com/places-to-live/n/west-lake-atlanta-ga/,"$69,662 ","1,256",J,67.0,52.0,56.0,61.0,57.0
226,West Manor,https://www.niche.com/places-to-live/n/west-manor-atlanta-ga/,"$109,612 ",,,20.0,24.0,14.0,22.0,10.0
227,West Paces Ferry/Northside,https://www.niche.com/places-to-live/n/west-paces-ferry-northside-atlanta-ga/,"$981,227 ","1,218",A,38.0,42.0,44.0,37.0,45.0
228,Westhaven,https://www.niche.com/places-to-live/n/westhaven-atlanta-ga/,"$69,300 ",,,22.0,29.0,39.0,22.0,37.0
229,Westminster/Milmar,https://www.niche.com/places-to-live/n/westminster-milmar-atlanta-ga/,"$622,600 ",,,6.0,4.0,9.0,6.0,2.0
230,Westover Plantation,https://www.niche.com/places-to-live/n/westover-plantation-atlanta-ga/,"$306,200 ",,,5.0,1.0,2.0,3.0,1.0
231,Westview,https://www.niche.com/places-to-live/n/westview-atlanta-ga/,"$137,190 ","3,020",T,211.0,246.0,229.0,174.0,162.0
232,Westwood Terrace,https://www.niche.com/places-to-live/n/westwood-terrace-atlanta-ga/,"$78,823 ",733,I,35.0,35.0,37.0,22.0,22.0
233,Whitewater Creek,https://www.niche.com/places-to-live/n/whitewater-creek-atlanta-ga/,"$903,297 ",,,3.0,8.0,7.0,9.0,7.0
234,Whittier Mill Village,https://www.niche.com/places-to-live/n/whittier-mill-village-atlanta-ga/,"$313,100 ",617,D,20.0,32.0,38.0,57.0,34.0
235,Wildwood (NPU-C),https://www.niche.com/places-to-live/n/wildwood-(npu-c)-atlanta-ga/,0,,,57.0,62.0,81.0,86.0,117.0
236,Wildwood (NPU-H),https://www.niche.com/places-to-live/n/wildwood-(npu-h)-atlanta-ga/,0,,,23.0,36.0,28.0,23.0,15.0
237,Wildwood Forest,https://www.niche.com/places-to-live/n/wildwood-forest-atlanta-ga/,"$143,700 ",,,5.0,8.0,9.0,4.0,9.0
238,Wilson Mill Meadows,https://www.niche.com/places-to-live/n/wilson-mill-meadows-atlanta-ga/,"$79,500 ","1,096",H,41.0,18.0,38.0,28.0,19.0
239,Wisteria Gardens,https://www.niche.com/places-to-live/n/wisteria-gardens-atlanta-ga/,"$90,900 ",512,H,24.0,20.0,20.0,14.0,18.0
240,Woodfield,https://www.niche.com/places-to-live/n/woodfield-atlanta-ga/,"$790,942 ",,,2.0,4.0,5.0,2.0,3.0
241,Woodland Hills,https://www.niche.com/places-to-live/n/woodland-hills-atlanta-ga/,"$179,621 ",,,34.0,41.0,48.0,51.0,25.0
242,Wyngate,https://www.niche.com/places-to-live/n/wyngate-atlanta-ga/,"$1,065,400 ",,,19.0,8.0,5.0,7.0,6.0
243,,https://www.niche.com/places-to-live/n/nan-atlanta-ga/,0,,,,,,,
